"id","name","description","crossReference","tools","representedData","advantages","disadvantages","screenshotUrl"
"1","Interaction diagram","A general name for sequence diagram like diagrams","Sequence diagram : 2 | Temporal msg flow diag : 3 | Scene diagram : 4 | Transaction flows view : 5 | SCED sequence diag : 6","Program explorer","Interaction, trace data.",,,"https://www.dropbox.com/s/rhinfdzp73v357d/interaction_diagram_program_explorer.png"
"2","Sequence diagram","no need","Interaction diagram : 1 | Temporal msg flow diag : 3 | Scene diagram : 4 | Transaction flows view : 5 | SCED sequence diag : 6","Kieker | SCED | Scene | TPTP | VET | OASIS | JIVE(2011) | Diver | FSV | Reticella | Collaboration browser | WSN","Interaction, trace data","Clearly depicts interaction","Not scalable","https://www.dropbox.com/sh/0c8llpxt5n5o3kr/j9bNeTR-M1"
"3","Temporal message-flow diagram","Sequence diagram origin. alternatively called sequence charts, interaction diagrams, event traces, or actor diagrams, are illustrations of a system’s global message-passing activity over time, and a pictorial aid to understanding the system’s behavior.","Interaction diagram : 1 | Sequence diagram : 2 | Scene diagram : 4 | Transaction flows view : 5 | SCED sequence diag : 6","IsVis | Program explorer","Interaction, trace data.","Clearly depicts interaction","Not scalable","https://www.dropbox.com/sh/gwbdfn209txa3kj/njsQvqFGJJ"
"4","Scene diagram","A bit different syntax from sequence diagram. Includes collapsing of calls, partitioning of long calls to view 1 part at once and allocation of instances.","Interaction diagram : 1 | Sequence diagram : 2 | Temporal msg flow diag : 3 | Transaction flows view : 5 | SCED sequence diag : 6","Scene","Interaction, trace data.","Clearly depicts interaction. Introduces some syntax to hide unnecessary traces and/or objects to deal with scalability.","Still not scalable enough for architecture level.","https://www.dropbox.com/sh/rh4cc76vyr53kbe/WrurxgnZwI"
"5","Transaction flows view","Same syntax as sequence diagram. Also includes static structure, as Packages on horizontal axis.","Interaction diagram : 1 | Sequence diagram : 2 | Temporal msg flow diag : 3 | Scene diagram : 4 | SCED sequence diag : 6","WSNavigator","Interaction, trace data.","Introduces horizontal abstraction by collapsing packages, thereby hiding respective traces","Not scalable enough for architecture level.","https://www.dropbox.com/sh/3l9gssyo42wqqhq/Pg-_gFKnSN"
"6","SCED sequence diagram","A sequence diagram with extra syntax for loop constructs, conditional statements.","Interaction diagram : 1 | Sequence diagram : 2 | Temporal msg flow diag : 3 | Scene diagram : 4 | Transaction flows view : 5","SCED | SHimBa","Interaction, trace data.","For loop syntax to avoid repetition. ","Not scalable enough for architectural level. Can be a bit confusing because of too many conditional statements, loop constructs. ","https://www.dropbox.com/sh/uqrhp3dv1vl327z/MwBiNAnV1H"
"7","Call tree","no need","Execution pattern view : 8 | Reference patten view : 9 | Program traces view : 10 | ConeTree : 26","Kieker | Ovation | Jinsight | Zinsight | Diver | SEAT | FireDetective | Program explorer","Interaction, trace data","depicts interaction very good, clear representation of instances of classes. Saves more space than sequence diagrams.","Not scalable without abstraction.","https://www.dropbox.com/sh/aq0lgqbg94xcsjl/Fii277QdpJ"
"8","Execution pattern view","Call tree like structure, horizontal. Time increases over the y-axis, down. The height of each node represents the duration it was executed.  Nodes can be collapsed. ","Call tree : 7 | Reference patten view : 9 | Program traces view : 10 | ConeTree : 26","Ovation","Interaction, trace data","Dealing with scalability very good.  Pattern recognition for abstraction.","Still, not scalable enough for architecture level.","https://www.dropbox.com/sh/yj0iq5fm4lcujug/Q9Q4gNy3D9"
"9","Reference pattern view","Very similar to #8. It also groups instances of objects. ","Call tree : 7 | Execution pattern view : 8 | Program traces view : 10 | ConeTree : 26","Jinsight | Zinsight","static and trace data","Groups instances to save space and groups methos calls from each instance into one edge. ","Not scalable enough for the whole trace data. Needs to be sliced. ","https://www.dropbox.com/s/g93hif1tmoq6qdd/reference_pattern_view.png"
"10","Program traces view","Call tree like structure, allows collapse and expand on nodes. Eclipse style. Very similar to #8. It also displays separate threads. However it only dispays list of traces, and not the whole call stack. It is used in synchronization with sequence diagram, in the given tool.","Call tree : 7 | Execution pattern view : 8 | Reference patten view : 9 | ConeTree : 26","Diver","Interaction, trace data","Collapsing saves space.","not scalable. Not enough information is displayed(call stack)","https://www.dropbox.com/sh/sbihwtc4gj9ym5c/LqVsEtnkWH"
"11","Dependency graph","Dependencies contain, method calls, imports, or associations between entities. Interactions among objects constitute runtime dependencies among these system entities, which can be described using weighted directed dependency graphs, each entity is assigned a node and each dependency relation an edge, the edge is directed from an entity using a particular service to the entity providing that service, the edges are augmented with the total number of call actions among the respective entities observed in the considered set of traces.","Map metophor view : 12 | Interaction graph : 13 | Polymetric view : 14 | Circular bundle view : 15 | 3D-HEB : 16 | Sequence context view : 17 | Histogram view : 18 |","Kieker | Cerno | Shimba | Rigi | Jinsight | AVID | Extravis | Shrimp | CodeCrawler | CodeMap | VITRAIL | Stan | Zinsight","mostly represent static structure data, but may also include method call or class allocation dependency data","A good way to represent static information together with dynamic. Possible to introduce several levels of abstraction. ","Does not include time information.","https://www.dropbox.com/sh/7cvx3nun2ig85by/nwDqKtjtZu"
